# frame  time_ps  oxide_zmin_A  oxide_zmax_A  oxide_thickness_A  oxide_top_roughness_A  penetration_max_A  penetration_mean_pos_A  penetration_fraction_gt_2.00A  llzo_center_z_A  metal_center_z_A  center_sep_z_A  Li_metal-La  Li_metal-Zr  Li_metal-O  RMSD_framework_all_A  RMSD_Li_metal_A  RMSD_Li_oxide_A  RMSD_La_A  RMSD_Zr_A  RMSD_O_A  MSD_framework_all_A2  MSD_Li_metal_A2  MSD_Li_oxide_A2  MSD_La_A2  MSD_Zr_A2  MSD_O_A2  CN_Li_metal-O  CN_Li_metal-Li_oxide  CN_Li_oxide-O
130.00000000 6.50000000 73.08178317 155.76117525 82.67939208 3.75297823 0.00000000 0.00000000 0.00000000 53.81934992 132.17100240 78.35165249 3.35456034 2.94223067 1.85070034 0.23942859 0.56560617 0.44262310 0.22381158 0.21670764 0.24670218 0.05732605 0.31991034 0.19591521 0.05009162 0.04696220 0.06086197 0.00426439 0.11940299 1.76532399
140.00000000 7.00000000 73.01315723 155.82980119 82.81664397 3.73748449 0.00000000 0.00000000 0.00000000 53.83806240 132.18504858 78.34698617 3.31132924 2.87795289 1.96343076 0.22527568 0.56348011 0.42676865 0.20687855 0.19395781 0.23436079 0.05074913 0.31750984 0.18213148 0.04279874 0.03761963 0.05492498 0.00426439 0.10234542 1.76532399
150.00000000 7.50000000 72.94349474 155.89946368 82.95596895 3.76979183 0.00000000 0.00000000 0.00000000 53.84864798 132.17054814 78.32190016 3.42919466 3.21273909 2.10111083 0.19763890 0.45610444 0.46713086 0.18963823 0.17325989 0.20332924 0.03906114 0.20803126 0.21821124 0.03596266 0.03001899 0.04134278 0.00213220 0.10447761 1.77057793
160.00000000 8.00000000 73.02131144 155.82164698 82.80033554 3.76367658 0.00000000 0.00000000 0.00000000 53.82465416 132.13132492 78.30667075 3.34533118 3.10160369 1.92877675 0.19828132 0.52780383 0.47122202 0.18732789 0.16056531 0.20646339 0.03931548 0.27857688 0.22205019 0.03509174 0.02578122 0.04262713 0.00426439 0.11087420 1.78984238
170.00000000 8.50000000 73.01289959 155.83005883 82.81715924 3.76502486 0.00000000 0.00000000 0.00000000 53.81302285 132.16345024 78.35042739 3.24968919 3.02108027 1.91260076 0.20625187 0.53948713 0.46370065 0.18887563 0.17886662 0.21450887 0.04253983 0.29104637 0.21501829 0.03567400 0.03199327 0.04601405 0.00426439 0.10874200 1.79159370
180.00000000 9.00000000 73.07869401 155.76426441 82.68557039 3.77761334 0.00000000 0.00000000 0.00000000 53.80343217 132.13026739 78.32683522 3.14168632 2.77511726 1.82497174 0.20284982 0.59674486 0.47490016 0.19180595 0.17317698 0.20999359 0.04114805 0.35610442 0.22553017 0.03678952 0.02999027 0.04409731 0.00426439 0.11300640 1.77758319
190.00000000 9.50000000 73.07722894 155.76572948 82.68850053 3.73942958 0.00000000 0.00000000 0.00000000 53.79865263 132.13359387 78.33494123 3.41365133 2.96556924 1.96729145 0.19417280 0.51256554 0.51345581 0.17216628 0.16970959 0.20298316 0.03770308 0.26272343 0.26363687 0.02964123 0.02880134 0.04120216 0.00426439 0.10447761 1.77933450
200.00000000 10.00000000 73.12593938 155.71701904 82.59107965 3.75626267 0.00000000 0.00000000 0.00000000 53.80295486 132.08380630 78.28085144 3.37624565 3.06903946 2.05755033 0.21078441 0.49542034 0.52449192 0.19546032 0.19963771 0.21621488 0.04443007 0.24544131 0.27509178 0.03820474 0.03985521 0.04674888 0.00426439 0.10874200 1.78984238
210.00000000 10.50000000 73.06195281 155.78100561 82.71905279 3.74196439 0.00000000 0.00000000 0.00000000 53.80273510 132.07755811 78.27482302 3.34420116 2.88699862 1.90129514 0.22509650 0.47881844 0.53192068 0.23639347 0.20230251 0.22580692 0.05066843 0.22926710 0.28293961 0.05588187 0.04092630 0.05098876 0.00426439 0.11727079 1.78984238
220.00000000 11.00000000 73.00983431 155.83312411 82.82328980 3.74687209 0.00000000 0.00000000 0.00000000 53.80422119 132.13121519 78.32699400 3.23774693 3.07264044 2.02252612 0.27420412 0.43835024 0.54737547 0.26531600 0.24972899 0.28022125 0.07518790 0.19215093 0.29961990 0.07039258 0.06236457 0.07852395 0.00426439 0.10660981 1.78984238
